Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
C2,4.7uF_100V_BUCK,C_1206_3216Metric,140.24,-86.15,0,top
C3,22uF_25V,C_0805_2012Metric,161.65,-90,90,top
C4,0.1uF_50V,C_0603_1608Metric,158.9,-90.975,180,top
C5,22uF_25V,C_0805_2012Metric,139.65,-83.65,0,top
C6,1uF_50V,C_0603_1608Metric,162.525,-113.175,90,top
C9,0.1uF_50V,C_0603_1608Metric,132.775,-113,90,top
C11,0.1uF_50V,C_0603_1608Metric,135.76,-91.685,90,top
C12,0.1uF_50V,C_0603_1608Metric,141.25,-96.47,90,top
C13,1uF_50V,C_0603_1608Metric,157.13,-86.22,-90,top
C21,0.1uF_50V,C_0603_1608Metric,152.725,-114.15,90,top
D1,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,133.3,-116.4,90,top
D4,D_Zener_SMCJ30A,D_SMC,140,-114.65,180,top
D5,D_Schottky_60V,D_SOD-123F,134.28,-88.75,180,top
D6,PMEG3010BEA,D_SOD-323,158.02,-83.16,180,top
D7,PMEG3010BEA,D_SOD-323,161.65,-83.16,0,top
J2,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,134,-100,-90,top
J4,I2C_CONN,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,157.825,-115,0,top
L1,Inductor_10uH_1.2A,L_Bourns-SRN4018,135.37,-84.765,90,top
R3,5.1k_USB_CC,R_0603_1608Metric,143,-96.475,90,top
R4,5.1k_USB_CC,R_0603_1608Metric,142.25,-103.15,0,top
R5,10k,R_0603_1608Metric,146,-102.7,180,top
R6,10k,R_0603_1608Metric,146,-97.325,180,top
R7,22ohms,R_0603_1608Metric,146,-99.125,0,top
R8,22ohms,R_0603_1608Metric,146,-100.875,0,top
R9,22ohms,R_0603_1608Metric,132.775,-107.225,-90,top
R10,100k_BUCK,R_0603_1608Metric,141.3,-90.2,-90,top
R12,1k_UART,R_0603_1608Metric,142.175,-93.85,0,top
R15,4.7k,R_0603_1608Metric,136.65,-107.225,-90,top
R16,4.7k,R_0603_1608Metric,147.275,-116.55,90,top
SW2,SW_Push,SW_SPST_B3U-1000P,145.85,-93.85,-90,top
SW3,SW_Push,SW_SPST_B3U-1000P,145.85,-106.2,90,top
U1,ESP32-S3-MINI-1,ESP32-S2-MINI-1,158.55,-100,-90,top
U4,USBLC6-2SC6,SOT-23-6,141.6375,-100,0,top
U5,AP2112K-3.3,SOT-23-5,160.6,-86.2375,0,top
U6,LMR16006YQ5,SOT-23-6,138.49,-89.65,90,top
