Ref,Val,Package,PosX,PosY,Rot,Side
"C2","4.7uF_100V_BUCK","C_1206_3216Metric",140.240000,-86.150000,0.000000,top
"C3","22uF_25V","C_0805_2012Metric",161.650000,-90.000000,90.000000,top
"C4","0.1uF_50V","C_0603_1608Metric",158.900000,-90.975000,180.000000,top
"C5","22uF_25V","C_0805_2012Metric",139.650000,-83.650000,0.000000,top
"C6","1uF_50V","C_0603_1608Metric",162.525000,-113.175000,90.000000,top
"C9","0.1uF_50V","C_0603_1608Metric",132.775000,-113.000000,90.000000,top
"C11","0.1uF_50V","C_0603_1608Metric",135.760000,-91.685000,90.000000,top
"C12","0.1uF_50V","C_0603_1608Metric",141.250000,-96.470000,90.000000,top
"C13","1uF_50V","C_0603_1608Metric",157.130000,-86.220000,-90.000000,top
"C21","0.1uF_50V","C_0603_1608Metric",152.725000,-114.150000,90.000000,top
"D1","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",133.300000,-116.400000,90.000000,top
"D4","D_Zener_SMCJ30A","D_SMC",140.000000,-114.650000,180.000000,top
"D5","D_Schottky_60V","D_SOD-123F",134.280000,-88.750000,180.000000,top
"D6","PMEG3010BEA","D_SOD-323",158.020000,-83.160000,180.000000,top
"D7","PMEG3010BEA","D_SOD-323",161.650000,-83.160000,0.000000,top
"J2","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",134.000000,-100.000000,-90.000000,top
"J4","I2C_CONN","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",157.825000,-115.000000,0.000000,top
"L1","Inductor_10uH_1.2A","L_Bourns-SRN4018",135.370000,-84.765000,90.000000,top
"R3","5.1k_USB_CC","R_0603_1608Metric",143.000000,-96.475000,90.000000,top
"R4","5.1k_USB_CC","R_0603_1608Metric",142.250000,-103.150000,0.000000,top
"R5","10k","R_0603_1608Metric",146.000000,-102.700000,180.000000,top
"R6","10k","R_0603_1608Metric",146.000000,-97.325000,180.000000,top
"R7","22ohms","R_0603_1608Metric",146.000000,-99.125000,0.000000,top
"R8","22ohms","R_0603_1608Metric",146.000000,-100.875000,0.000000,top
"R9","22ohms","R_0603_1608Metric",132.775000,-107.225000,-90.000000,top
"R10","100k_BUCK","R_0603_1608Metric",141.300000,-90.200000,-90.000000,top
"R12","1k_UART","R_0603_1608Metric",142.175000,-93.850000,0.000000,top
"R15","4.7k","R_0603_1608Metric",136.650000,-107.225000,-90.000000,top
"R16","4.7k","R_0603_1608Metric",147.275000,-116.550000,90.000000,top
"SW2","SW_Push","SW_SPST_B3U-1000P",145.850000,-93.850000,-90.000000,top
"SW3","SW_Push","SW_SPST_B3U-1000P",145.850000,-106.200000,90.000000,top
"U1","ESP32-S3-MINI-1","ESP32-S2-MINI-1",158.550000,-100.000000,-90.000000,top
"U4","USBLC6-2SC6","SOT-23-6",141.637500,-100.000000,0.000000,top
"U5","AP2112K-3.3","SOT-23-5",160.600000,-86.237500,0.000000,top
"U6","LMR16006YQ5","SOT-23-6",138.490000,-89.650000,90.000000,top
